,Country,Ipl_Team,Name,URL
0,India,Rajkot,Suresh Raina,http://www.espncricinfo.com/indian-premier-league-2016/content/player/33335.html
1,India,Rajkot,Sarabjit Ladda,http://www.espncricinfo.com/indian-premier-league-2016/content/player/317292.html
2,India,Rajkot,Akshdeep Nath,http://www.espncricinfo.com/indian-premier-league-2016/content/player/500360.html
3,India,Rajkot,Amit Mishra,http://www.espncricinfo.com/indian-premier-league-2016/content/player/604550.html
4,West Indies,Rajkot,Dwayne Bravo,http://www.espncricinfo.com/indian-premier-league-2016/content/player/51439.html
5,India,Rajkot,Paras Dogra,http://www.espncricinfo.com/indian-premier-league-2016/content/player/28160.html
6,Australia,Rajkot,James Faulkner,http://www.espncricinfo.com/indian-premier-league-2016/content/player/270484.html
7,Australia,Rajkot,Aaron Finch,http://www.espncricinfo.com/indian-premier-league-2016/content/player/5334.html
8,India,Rajkot,Ravindra Jadeja,http://www.espncricinfo.com/indian-premier-league-2016/content/player/234675.html
9,India,Rajkot,Shadab Jakati,http://www.espncricinfo.com/indian-premier-league-2016/content/player/29655.html
10,India,Rajkot,Dinesh Karthik,http://www.espncricinfo.com/indian-premier-league-2016/content/player/30045.html
11,India,Rajkot,Dhawal Kulkarni,http://www.espncricinfo.com/indian-premier-league-2016/content/player/277955.html
12,India,Rajkot,Praveen Kumar,http://www.espncricinfo.com/indian-premier-league-2016/content/player/30732.html
13,New Zealand,Rajkot,Brendon McCullum,http://www.espncricinfo.com/indian-premier-league-2016/content/player/37737.html
14,India,Rajkot,Pradeep Sangwan,http://www.espncricinfo.com/indian-premier-league-2016/content/player/279545.html
15,India,Rajkot,Jaydev Shah,http://www.espncricinfo.com/indian-premier-league-2016/content/player/34997.html
16,West Indies,Rajkot,Dwayne Smith,http://www.espncricinfo.com/indian-premier-league-2016/content/player/53118.html
17,South Africa,Rajkot,Dale Steyn,http://www.espncricinfo.com/indian-premier-league-2016/content/player/47492.html
18,India,Rajkot,Pravin Tambe,http://www.espncricinfo.com/indian-premier-league-2016/content/player/587152.html
19,Australia,Rajkot,Andrew Tye,http://www.espncricinfo.com/indian-premier-league-2016/content/player/459508.html
20,India,Delhi,Zaheer Khan,http://www.espncricinfo.com/indian-premier-league-2016/content/player/30102.html
21,India,Delhi,Mayank Agarwal,http://www.espncricinfo.com/indian-premier-league-2016/content/player/398438.html
22,England,Delhi,Sam Billings,http://www.espncricinfo.com/indian-premier-league-2016/content/player/297628.html
23,West Indies,Delhi,Carlos Brathwaite,http://www.espncricinfo.com/indian-premier-league-2016/content/player/457249.html
24,Australia,Delhi,Nathan Coulter-Nile,http://www.espncricinfo.com/indian-premier-league-2016/content/player/261354.html
25,South Africa,Delhi,Quinton de Kock,http://www.espncricinfo.com/indian-premier-league-2016/content/player/379143.html
26,South Africa,Delhi,Jean-Paul Duminy,http://www.espncricinfo.com/indian-premier-league-2016/content/player/44932.html
27,India,Delhi,Akhil Herwadkar,http://www.espncricinfo.com/indian-premier-league-2016/content/player/532851.html
28,South Africa,Delhi,Imran Tahir,http://www.espncricinfo.com/indian-premier-league-2016/content/player/40618.html
29,India,Delhi,Shreyas Iyer,http://www.espncricinfo.com/indian-premier-league-2016/content/player/642519.html
30,India,Delhi,Chama Milind,http://www.espncricinfo.com/indian-premier-league-2016/content/player/604616.html
31,India,Delhi,Amit Mishra,http://www.espncricinfo.com/indian-premier-league-2016/content/player/31107.html
32,India,Delhi,Mohammed Shami,http://www.espncricinfo.com/indian-premier-league-2016/content/player/481896.html
33,South Africa,Delhi,Chris Morris,http://www.espncricinfo.com/indian-premier-league-2016/content/player/439952.html
34,India,Delhi,Shahbaz Nadeem,http://www.espncricinfo.com/indian-premier-league-2016/content/player/31872.html
35,India,Delhi,Karun Nair,http://www.espncricinfo.com/indian-premier-league-2016/content/player/398439.html
36,India,Delhi,Pawan Negi,http://www.espncricinfo.com/indian-premier-league-2016/content/player/530773.html
37,India,Delhi,Rishabh Pant,http://www.espncricinfo.com/indian-premier-league-2016/content/player/931581.html
38,India,Delhi,Sanju Samson,http://www.espncricinfo.com/indian-premier-league-2016/content/player/425943.html
39,India,Delhi,Pawan Suyal,http://www.espncricinfo.com/indian-premier-league-2016/content/player/431213.html
40,India,Delhi,Jayant Yadav,http://www.espncricinfo.com/indian-premier-league-2016/content/player/447587.html
41,Australia,Delhi,Joel Paris,http://www.espncricinfo.com/indian-premier-league-2016/content/player/501012.html
42,South Africa,Mohali,David Miller,http://www.espncricinfo.com/indian-premier-league-2016/content/player/321777.html
43,South Africa,Mohali,Kyle Abbott,http://www.espncricinfo.com/indian-premier-league-2016/content/player/297583.html
44,India,Mohali,Anureet Singh,http://www.espncricinfo.com/indian-premier-league-2016/content/player/376324.html
45,South Africa,Mohali,Farhaan Behardien,http://www.espncricinfo.com/indian-premier-league-2016/content/player/44410.html
46,India,Mohali,KC Cariappa,http://www.espncricinfo.com/indian-premier-league-2016/content/player/777537.html
47,India,Mohali,Rishi Dhawan,http://www.espncricinfo.com/indian-premier-league-2016/content/player/290727.html
48,India,Mohali,Gurkeerat Singh Mann,http://www.espncricinfo.com/indian-premier-league-2016/content/player/537124.html
