,Date,Home_Team,Match,Touring_Team,Venue,day_or_night
0,Sat Apr 9,Mumbai Indians,Mumbai Indians v Rising Pune Supergiants,Mumbai Indians,"Wankhede Stadium, Mumbai",N
1,Sun Apr 10,Kolkata Knight Riders,Kolkata Knight Riders v Delhi Daredevils,Kolkata Knight Riders,"Eden Gardens, Kolkata",N
2,Mon Apr 11,Kings XI Punjab,Kings XI Punjab v Gujarat Lions,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",N
3,Tue Apr 12,Royal Challengers Bangalore,Royal Challengers Bangalore v Sunrisers Hyderabad,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bangalore",N
4,Wed Apr 13,Kolkata Knight Riders,Kolkata Knight Riders v Mumbai Indians,Kolkata Knight Riders,"Eden Gardens, Kolkata",N
5,Thu Apr 14,Gujarat Lions,Gujarat Lions v Rising Pune Supergiants,Gujarat Lions,"Saurashtra Cricket Association Stadium, Rajkot",N
6,Fri Apr 15,Delhi Daredevils,Delhi Daredevils v Kings XI Punjab,Delhi Daredevils,"Feroz Shah Kotla, Delhi",N
7,Sat Apr 16,Sunrisers Hyderabad,Sunrisers Hyderabad v Kolkata Knight Riders,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",D/N
8,Sat Apr 16,Mumbai Indians,Mumbai Indians v Gujarat Lions,Mumbai Indians,"Wankhede Stadium, Mumbai",N
9,Sun Apr 17,Kings XI Punjab,Kings XI Punjab v Rising Pune Supergiants,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",D/N
10,Sun Apr 17,Royal Challengers Bangalore,Royal Challengers Bangalore v Delhi Daredevils,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bangalore",N
11,Mon Apr 18,Sunrisers Hyderabad,Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",N
12,Tue Apr 19,Kings XI Punjab,Kings XI Punjab v Kolkata Knight Riders,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",N
13,Wed Apr 20,Mumbai Indians,Mumbai Indians v Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Mumbai",N
14,Thu Apr 21,Gujarat Lions,Gujarat Lions v Sunrisers Hyderabad,Gujarat Lions,"Saurashtra Cricket Association Stadium, Rajkot",N
15,Fri Apr 22,Rising Pune Supergiants,Rising Pune Supergiants v Royal Challengers Bangalore,Rising Pune Supergiants,"Maharashtra Cricket Association Stadium, Pune",N
16,Sat Apr 23,Delhi Daredevils,Delhi Daredevils v Mumbai Indians,Delhi Daredevils,"Feroz Shah Kotla, Delhi",D/N
17,Sat Apr 23,Sunrisers Hyderabad,Sunrisers Hyderabad v Kings XI Punjab,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",N
18,Sun Apr 24,Gujarat Lions,Gujarat Lions v Royal Challengers Bangalore,Gujarat Lions,"Saurashtra Cricket Association Stadium, Rajkot",D/N
19,Sun Apr 24,Rising Pune Supergiants,Rising Pune Supergiants v Kolkata Knight Riders,Rising Pune Supergiants,"Maharashtra Cricket Association Stadium, Pune",N
20,Mon Apr 25,Kings XI Punjab,Kings XI Punjab v Mumbai Indians,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",N
21,Tue Apr 26,Sunrisers Hyderabad,Sunrisers Hyderabad v Rising Pune Supergiants,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",N
22,Wed Apr 27,Delhi Daredevils,Delhi Daredevils v Gujarat Lions,Delhi Daredevils,"Feroz Shah Kotla, Delhi",N
23,Thu Apr 28,Mumbai Indians,Mumbai Indians v Kolkata Knight Riders,Mumbai Indians,"Wankhede Stadium, Mumbai",N
24,Fri Apr 29,Rising Pune Supergiants,Rising Pune Supergiants v Gujarat Lions,Rising Pune Supergiants,"Maharashtra Cricket Association Stadium, Pune",N
25,Sat Apr 30,Delhi Daredevils,Delhi Daredevils v Kolkata Knight Riders,Delhi Daredevils,"Feroz Shah Kotla, Delhi",D/N
26,Sat Apr 30,Sunrisers Hyderabad,Sunrisers Hyderabad v Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",N
27,Sun May 1,Gujarat Lions,Gujarat Lions v Kings XI Punjab,Gujarat Lions,"Saurashtra Cricket Association Stadium, Rajkot",D/N
28,Sun May 1,Rising Pune Supergiants,Rising Pune Supergiants v Mumbai Indians,Rising Pune Supergiants,"Maharashtra Cricket Association Stadium, Pune",N
29,Mon May 2,Royal Challengers Bangalore,Royal Challengers Bangalore v Kolkata Knight Riders,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bangalore",N
30,Tue May 3,Gujarat Lions,Gujarat Lions v Delhi Daredevils,Gujarat Lions,"Saurashtra Cricket Association Stadium, Rajkot",N
31,Wed May 4,Kolkata Knight Riders,Kolkata Knight Riders v Kings XI Punjab,Kolkata Knight Riders,"Eden Gardens, Kolkata",N
32,Thu May 5,Delhi Daredevils,Delhi Daredevils v Rising Pune Supergiants,Delhi Daredevils,"Feroz Shah Kotla, Delhi",N
33,Fri May 6,Sunrisers Hyderabad,Sunrisers Hyderabad v Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",N
34,Sat May 7,Royal Challengers Bangalore,Royal Challengers Bangalore v Rising Pune Supergiants,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bangalore",D/N
35,Sat May 7,Kings XI Punjab,Kings XI Punjab v Delhi Daredevils,Kings XI Punjab,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",N
36,Sun May 8,Mumbai Indians,Mumbai Indians v Sunrisers Hyderabad,Mumbai Indians,"Wankhede Stadium, Mumbai",D/N
37,Sun May 8,Kolkata Knight Riders,Kolkata Knight Riders v Gujarat Lions,Kolkata Knight Riders,"Eden Gardens, Kolkata",N
38,Mon May 9,Kings XI Punjab,Kings XI Punjab v Royal Challengers Bangalore,Kings XI Punjab,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",N
39,Tue May 10,Rising Pune Supergiants,Rising Pune Supergiants v Sunrisers Hyderabad,Rising Pune Supergiants,"Maharashtra Cricket Association Stadium, Pune",N
40,Wed May 11,Royal Challengers Bangalore,Royal Challengers Bangalore v Mumbai Indians,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bangalore",N
41,Thu May 12,Sunrisers Hyderabad,Sunrisers Hyderabad v Delhi Daredevils,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",N
42,Fri May 13,Mumbai Indians,Mumbai Indians v Kings XI Punjab,Mumbai Indians,"Wankhede Stadium, Mumbai",N
43,Sat May 14,Royal Challengers Bangalore,Royal Challengers Bangalore v Gujarat Lions,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bangalore",D/N
44,Sat May 14,Kolkata Knight Riders,Kolkata Knight Riders v Rising Pune Supergiants,Kolkata Knight Riders,"Eden Gardens, Kolkata",N
45,Sun May 15,Mumbai Indians,Mumbai Indians v Delhi Daredevils,Mumbai Indians,"Wankhede Stadium, Mumbai",D/N
46,Sun May 15,Kings XI Punjab,Kings XI Punjab v Sunrisers Hyderabad,Kings XI Punjab,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",N
47,Mon May 16,Kolkata Knight Riders,Kolkata Knight Riders v Royal Challengers Bangalore,Kolkata Knight Riders,"Eden Gardens, Kolkata",N
48,Tue May 17,Rising Pune Supergiants,Rising Pune Supergiants v Delhi Daredevils,Rising Pune Supergiants,"Maharashtra Cricket Association Stadium, Pune",N
49,Wed May 18,Royal Challengers Bangalore,Royal Challengers Bangalore v Kings XI Punjab,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bangalore",N
50,Thu May 19,Gujarat Lions,Gujarat Lions v Kolkata Knight Riders,Gujarat Lions,Venue TBC,N
51,Fri May 20,Delhi Daredevils,Delhi Daredevils v Sunrisers Hyderabad,Delhi Daredevils,"Shaheed Veer Narayan Singh International Stadium, Raipur",N
52,Sat May 21,Rising Pune Supergiants,Rising Pune Supergiants v Kings XI Punjab,Rising Pune Supergiants,"Maharashtra Cricket Association Stadium, Pune",D/N
53,Sat May 21,Gujarat Lions,Gujarat Lions v Mumbai Indians,Gujarat Lions,Venue TBC,N
54,Sun May 22,Kolkata Knight Riders,Kolkata Knight Riders v Sunrisers Hyderabad,Kolkata Knight Riders,"Eden Gardens, Kolkata",D/N
55,Sun May 22,Delhi Daredevils,Delhi Daredevils v Royal Challengers Bangalore,Delhi Daredevils,"Shaheed Veer Narayan Singh International Stadium, Raipur",N
56,Tue May 24,TBC,TBC v TBC,TBC,"M Chinnaswamy Stadium, Bangalore",N
57,Wed May 25,TBC,TBC v TBC,TBC,"Maharashtra Cricket Association Stadium, Pune",N
58,Fri May 27,TBC,TBC v TBC,TBC,"Maharashtra Cricket Association Stadium, Pune",N
59,Sun May 29,TBC,TBC v TBC,TBC,"Wankhede Stadium, Mumbai",N
